,GEOID,S000,geometry,centroid
1794,36061003100,2685.0,"POLYGON ((-74.0081 40.711995, -74.007666 40.712533, -74.00722500000001 40.713055, -74.00631 40.714166, -74.005889 40.714678, -74.00542 40.715236, -74.004533 40.71628, -74.004026 40.716871, -74.001884 40.719398, -74.001273 40.718961, -74.00053200000001 40.71843, -73.999956 40.718017, -74.002115 40.715159, -74.00259800000001 40.714313, -74.003094 40.713958, -74.003603 40.713646, -74.004059 40.713135, -74.00429099999999 40.712908, -74.004858 40.712453, -74.005589 40.71217, -74.007018 40.711784, -74.00796800000001 40.711447, -74.008601 40.711392, -74.0081 40.711995))",POINT (-74.00382758261063 40.7152994827978)
1156,36005026100,1697.0,"POLYGON ((-73.908826 40.864854, -73.90848800000001 40.865345, -73.907134 40.867922, -73.904483 40.869388, -73.903668 40.869495, -73.90235800000001 40.868696, -73.904391 40.865905, -73.90628 40.865007, -73.90680500000001 40.864426, -73.907539 40.86356, -73.909099 40.863001, -73.908826 40.864854))",POINT (-73.90592673758827 40.86662591249616)
1520,36061006200,1460.0,"POLYGON ((-73.97805200000001 40.737554, -73.977603 40.738172, -73.977148 40.738796, -73.97669999999999 40.73941, -73.976251 40.740026, -73.97580000000001 40.740644, -73.975343 40.741274, -73.974924 40.741847, -73.97401499999999 40.743095, -73.973512 40.743782, -73.97223 40.743249, -73.971566 40.742993, -73.96262 40.739033, -73.962478 40.736802, -73.962672 40.736446, -73.96234800000001 40.733812, -73.962307 40.733119, -73.962288 40.732899, -73.962148 40.732452, -73.961843 40.731625, -73.96145 40.730994, -73.961214 40.729508, -73.973546 40.734939, -73.974433 40.735315, -73.97496 40.735369, -73.97514 40.735392, -73.978498 40.736791, -73.97805200000001 40.737554))",POINT (-73.96921049355817 40.73710906968163)
1252,36081024000,1304.0,"POLYGON ((-73.811632 40.703052, -73.809693 40.703578, -73.80878800000001 40.703822, -73.80758400000001 40.704146, -73.80564800000001 40.704672, -73.80165700000001 40.705761, -73.80110999999999 40.704848, -73.800201 40.703341, -73.79992 40.702474, -73.802409 40.701852, -73.804129 40.70146, -73.80444199999999 40.702132, -73.80680700000001 40.701776, -73.80792700000001 40.701766, -73.808874 40.701815, -73.809049 40.701836, -73.81152899999999 40.702273, -73.811632 40.703052))",POINT (-73.80507658225237 40.70328602478602)
407,36047015200,1130.0,"POLYGON ((-74.02755000000001 40.612925, -74.025729 40.616049, -74.024624 40.617389, -74.02293299999999 40.619502, -74.022004 40.618938, -74.021216 40.618472, -74.022161 40.616169, -74.022789 40.614596, -74.02477500000001 40.609676, -74.027106 40.610244, -74.027013 40.612689, -74.02755000000001 40.612925))",POINT (-74.02452522322966 40.61443730047879)
1557,36061011100,941.0,"POLYGON ((-73.998661 40.755252, -73.99843199999999 40.755563, -73.99820800000001 40.755869, -73.99730599999999 40.75711, -73.994468 40.755909, -73.99163299999999 40.754707, -73.992079 40.754091, -73.99252799999999 40.753474, -73.99297900000001 40.752854, -73.993464 40.75219, -73.99630399999999 40.753389, -73.998288 40.754223, -73.999143 40.754585, -73.998661 40.755252))",POINT (-73.9953876684463 40.75464877513475)
1278,36081018300,506.0,"POLYGON ((-73.92151200000001 40.743325, -73.921451 40.743634, -73.921132 40.745224, -73.920798 40.746891, -73.92034200000001 40.749159, -73.918676 40.749488, -73.917456 40.749356, -73.917607 40.748599, -73.918014 40.746568, -73.91834900000001 40.744901, -73.918674 40.743296, -73.91873 40.742991, -73.918898 40.742187, -73.919099 40.741155, -73.920028 40.741262, -73.920956 40.741362, -73.92188299999999 40.741478, -73.92151200000001 40.743325))",POINT (-73.91966886497175 40.74534079691108)
1590,36061003700,459.0,"POLYGON ((-74.0213512450046 40.7274618162708, -74.0213117452884 40.7276241318197, -74.0210183908703 40.728829608416, -74.0209679234969 40.7290369931824, -74.014886 40.728495, -74.011376 40.728233, -74.01087099999999 40.72818, -74.010544 40.7291, -74.009349 40.728988, -74.00709000000001 40.728772, -74.005314 40.728605, -74.003128 40.728394, -74.002808 40.728365, -74.002149 40.728036, -74.00251299999999 40.727601, -74.003122 40.726878, -74.00373 40.72625, -74.00385900000001 40.725932, -74.004031 40.725513, -74.00427500000001 40.724911, -74.004575 40.724173, -74.004786 40.723625, -74.00530999999999 40.721824, -74.006298 40.72255, -74.00762899999999 40.723497, -74.007912 40.7237, -74.010041 40.725206, -74.01091599999999 40.725832, -74.011235 40.724266, -74.011439 40.724284, -74.011978 40.724333, -74.01599 40.724766, -74.0218318245786 40.7254869783501, -74.0213512450046 40.7274618162708))",POINT (-74.01171470105675 40.72649309012964)
1082,36047027100,253.0,"POLYGON ((-73.943973 40.680088, -73.943262 40.680051, -73.941209 40.679938, -73.94032799999999 40.67989, -73.938625 40.679796, -73.938436 40.679786, -73.937398 40.67973, -73.934872 40.679593, -73.93435100000001 40.679564, -73.932897 40.679485, -73.929058 40.679277, -73.930199 40.678026, -73.930322 40.677485, -73.933069 40.677647, -73.935858 40.677817, -73.938593 40.67797, -73.94136899999999 40.678093, -73.944141 40.678237, -73.943973 40.680088))",POINT (-73.9369300474025 40.67879609906458)
250,36081024600,221.0,"POLYGON ((-73.802409 40.701852, -73.79992 40.702474, -73.79841500000001 40.702741, -73.797124 40.703035, -73.79609000000001 40.703294, -73.793792 40.704032, -73.792368 40.702121, -73.79186900000001 40.701366, -73.793577 40.699756, -73.795722 40.699015, -73.79753700000001 40.698199, -73.799341 40.699291, -73.798687 40.699715, -73.801574 40.701214, -73.802409 40.701852))",POINT (-73.79653158595758 40.70121263949016)
